"","word","index","negative","positive","sentiment"
"1","afraid",174,1,0,-1
"2","aggressive",159,1,0,-1
"3","approval",76,0,1,1
"4","approval",323,0,1,1
"5","aspire",158,0,1,1
"6","assault",231,1,0,-1
"7","attacks",93,1,0,-1
"8","award",42,0,1,1
"9","award",331,0,1,1
"10","awkward",272,1,0,-1
"11","bad",75,1,0,-1
"12","best",62,0,1,1
"13","better",171,0,1,1
"14","better",248,0,1,1
"15","blackmail",310,1,0,-1
"16","boost",233,0,1,1
"17","boost",317,0,1,1
"18","boundless",220,0,1,1
"19","burn",301,1,0,-1
"20","clear",141,0,1,1
"21","collapse",38,1,0,-1
"22","complicated",111,1,0,-1
"23","corrupt",273,2,0,-2
"24","corrupt",285,1,0,-1
"25","corruption",108,1,0,-1
"26","corruption",307,1,0,-1
"27","crime",149,1,0,-1
"28","crisis",12,1,0,-1
"29","crisis",37,1,0,-1
"30","crisis",143,1,0,-1
"31","crisis",174,1,0,-1
"32","crisis",189,1,0,-1
"33","crisis",272,1,0,-1
"34","crisis",302,1,0,-1
"35","crisis",305,1,0,-1
"36","crisis",316,1,0,-1
"37","crisis",335,2,0,-2
"38","crisis",337,1,0,-1
"39","critical",204,1,0,-1
"40","criticism",198,1,0,-1
"41","crumble",187,1,0,-1
"42","damage",72,1,0,-1
"43","danger",52,1,0,-1
"44","danger",91,1,0,-1
"45","dangerous",40,1,0,-1
"46","dead",3,1,0,-1
"47","death",321,1,0,-1
"48","debt",335,1,0,-1
"49","decline",222,1,0,-1
"50","defeat",139,0,1,1
"51","denied",237,1,0,-1
"52","difficulty",28,1,0,-1
"53","dilemma",156,1,0,-1
"54","dirty",247,1,0,-1
"55","discord",276,1,0,-1
"56","disgrace",275,1,0,-1
"57","disillusioned",278,1,0,-1
"58","distrust",71,1,0,-1
"59","doubts",257,1,0,-1
"60","eminence",98,0,1,1
"61","envy",243,0,1,1
"62","explosive",11,1,0,-1
"63","fails",18,1,0,-1
"64","failure",24,1,0,-1
"65","failure",271,1,0,-1
"66","faith",302,0,1,1
"67","fake",104,1,0,-1
"68","fans",245,0,1,1
"69","fascist",318,1,0,-1
"70","fault",246,1,0,-1
"71","fear",211,1,0,-1
"72","fear",297,1,0,-1
"73","fears",253,1,0,-1
"74","fraud",103,1,0,-1
"75","freedom",2,0,2,2
"76","freedom",77,0,1,1
"77","freedom",84,0,1,1
"78","freedom",102,0,1,1
"79","freezing",230,1,0,-1
"80","gain",76,0,1,1
"81","gains",210,0,1,1
"82","gains",215,0,1,1
"83","genuine",19,0,1,1
"84","golden",281,0,1,1
"85","good",75,0,1,1
"86","good",122,0,1,1
"87","good",182,0,1,1
"88","good",307,0,1,1
"89","grand",13,0,1,1
"90","grand",20,0,1,1
"91","grand",47,0,1,1
"92","hail",127,0,1,1
"93","happy",28,0,1,1
"94","harmony",115,0,1,1
"95","hate",141,1,0,-1
"96","hatred",151,1,0,-1
"97","helpless",220,1,0,-1
"98","hot",55,0,1,1
"99","illness",253,1,0,-1
"100","improved",69,0,1,1
"101","injustice",321,1,0,-1
"102","innovation",307,0,1,1
"103","innovative",214,0,1,1
"104","issue",225,1,0,-1
"105","issues",55,1,0,-1
"106","itch",14,1,0,-1
"107","killer",153,1,0,-1
"108","lack",196,1,0,-1
"109","lags",173,1,0,-1
"110","lags",287,1,0,-1
"111","leading",242,0,1,1
"112","limits",181,1,0,-1
"113","lose",50,1,0,-1
"114","lose",210,1,0,-1
"115","lose",302,1,0,-1
"116","losing",124,1,0,-1
"117","losing",238,1,0,-1
"118","lost",336,1,0,-1
"119","lost",343,1,0,-1
"120","mistakes",271,1,0,-1
"121","obsession",40,0,1,1
"122","offensive",26,1,0,-1
"123","overwhelms",157,1,0,-1
"124","pan",51,1,0,-1
"125","passion",297,0,1,1
"126","passionate",177,0,1,1
"127","pessimism",266,1,0,-1
"128","polarisation",234,1,0,-1
"129","poor",3,1,0,-1
"130","poverty",7,1,0,-1
"131","poverty",137,1,0,-1
"132","praise",237,0,1,1
"133","prefers",37,0,1,1
"134","propaganda",256,1,0,-1
"135","pros",244,0,1,1
"136","protest",285,1,0,-1
"137","protests",108,1,0,-1
"138","recession",207,1,0,-1
"139","reckless",220,1,0,-1
"140","reform",291,0,1,1
"141","reform",313,0,1,1
"142","reforms",30,0,1,1
"143","reliable",269,0,1,1
"144","reputation",248,0,1,1
"145","right",19,0,1,1
"146","right",42,0,1,1
"147","right",112,0,1,1
"148","right",175,0,1,1
"149","right",209,0,1,1
"150","right",210,0,1,1
"151","right",331,0,1,1
"152","right",342,0,1,1
"153","risk",269,1,0,-1
"154","risks",311,1,0,-1
"155","roadblocks",283,1,0,-1
"156","ruin",90,1,0,-1
"157","rupture",296,1,0,-1
"158","scapegoat",227,1,0,-1
"159","shambles",5,1,0,-1
"160","skilled",233,0,1,1
"161","slump",202,1,0,-1
"162","smart",59,0,1,1
"163","solidarity",92,0,1,1
"164","solidarity",240,0,1,1
"165","stress",64,1,0,-1
"166","stress",147,1,0,-1
"167","striking",95,0,1,1
"168","strong",194,0,1,1
"169","struggles",31,1,0,-1
"170","stupid",190,1,0,-1
"171","success",334,0,1,1
"172","suffering",110,1,0,-1
"173","super",97,0,1,1
"174","support",62,0,1,1
"175","support",124,0,1,1
"176","supporter",126,0,1,1
"177","supporting",273,0,1,1
"178","susceptible",310,1,0,-1
"179","taboo",303,1,0,-1
"180","terror",253,1,0,-1
"181","terrorism",78,1,0,-1
"182","threat",78,1,0,-1
"183","top",211,0,1,1
"184","top",309,0,1,1
"185","toughest",142,0,1,1
"186","tragedy",29,1,0,-1
"187","tragedy",152,1,0,-1
"188","trap",293,1,0,-1
"189","trapped",7,1,0,-1
"190","trauma",6,1,0,-1
"191","troubled",153,1,0,-1
"192","trump",41,0,1,1
"193","trump",43,0,1,1
"194","trump",74,0,1,1
"195","trump",94,0,1,1
"196","trump",101,0,1,1
"197","trump",109,0,1,1
"198","trump",120,0,1,1
"199","trump",145,0,1,1
"200","trump",183,0,1,1
"201","trusted",79,0,1,1
"202","unequivocally",42,0,1,1
"203","unpredictable",101,1,0,-1
"204","unprepared",57,1,0,-1
"205","visionary",311,0,1,1
"206","vulnerable",133,1,0,-1
"207","waste",264,1,0,-1
"208","weak",159,1,0,-1
"209","weak",282,1,0,-1
"210","wealthy",3,0,1,1
"211","welcome",328,0,1,1
"212","well",193,0,2,2
"213","win",50,0,1,1
"214","win",127,0,1,1
"215","win",256,0,1,1
"216","won",209,0,1,1
"217","work",63,0,1,1
"218","work",280,0,1,1
"219","work",300,0,1,1
"220","worries",253,1,0,-1
"221","worst",277,1,0,-1
"222","worth",235,0,1,1
"223","wrong",122,2,0,-2
"224","yawn",60,1,0,-1
